Iteration,Number of Particles,Travel Time,Waiting Time
1,20,151.0,114.0
2,20,151.0,114.0
3,20,151.0,67.0
4,20,123.0,67.0
5,20,123.0,43.0
6,20,123.0,43.0
7,20,123.0,43.0
8,20,73.0,43.0
9,20,73.0,43.0
10,20,73.0,31.0
11,20,73.0,31.0
12,20,73.0,31.0
13,20,73.0,31.0
14,20,73.0,31.0
15,20,73.0,31.0
16,20,73.0,31.0
17,20,73.0,31.0
18,20,73.0,31.0
19,20,73.0,31.0
20,20,73.0,31.0
1,40,91.0,53.0
2,40,91.0,53.0
3,40,91.0,53.0
4,40,91.0,53.0
5,40,89.0,53.0
6,40,89.0,53.0
7,40,89.0,39.0
8,40,89.0,39.0
9,40,89.0,39.0
10,40,89.0,39.0
11,40,89.0,39.0
12,40,89.0,39.0
13,40,89.0,39.0
14,40,82.0,39.0
15,40,82.0,39.0
16,40,78.0,39.0
17,40,78.0,33.0
18,40,78.0,33.0
19,40,78.0,33.0
20,40,78.0,33.0
21,40,78.0,33.0
22,40,78.0,32.0
23,40,78.0,32.0
24,40,78.0,32.0
25,40,78.0,32.0
26,40,78.0,32.0
27,40,78.0,32.0
28,40,78.0,32.0
29,40,78.0,32.0
30,40,78.0,32.0
31,40,78.0,32.0
32,40,78.0,32.0
33,40,78.0,32.0
34,40,78.0,32.0
35,40,78.0,32.0
36,40,78.0,32.0
37,40,78.0,32.0
38,40,78.0,32.0
39,40,78.0,32.0
40,40,78.0,32.0
1,60,114.0,126.0
2,60,114.0,79.0
3,60,86.0,54.0
4,60,86.0,54.0
5,60,86.0,54.0
6,60,86.0,54.0
7,60,86.0,54.0
8,60,86.0,54.0
9,60,86.0,54.0
10,60,86.0,27.0
11,60,86.0,27.0
12,60,86.0,27.0
13,60,86.0,27.0
14,60,86.0,27.0
15,60,86.0,27.0
16,60,81.0,27.0
17,60,81.0,27.0
18,60,81.0,27.0
19,60,81.0,27.0
20,60,81.0,27.0
21,60,81.0,27.0
22,60,81.0,27.0
23,60,81.0,27.0
24,60,77.0,27.0
25,60,77.0,27.0
26,60,77.0,27.0
27,60,77.0,27.0
28,60,77.0,27.0
29,60,77.0,27.0
30,60,77.0,27.0
31,60,77.0,27.0
32,60,72.0,27.0
33,60,72.0,27.0
34,60,72.0,27.0
35,60,72.0,27.0
36,60,72.0,27.0
37,60,72.0,27.0
38,60,72.0,27.0
39,60,72.0,27.0
40,60,72.0,27.0
41,60,72.0,27.0
42,60,72.0,24.0
43,60,72.0,24.0
44,60,72.0,24.0
45,60,72.0,24.0
46,60,72.0,24.0
47,60,72.0,24.0
48,60,72.0,24.0
49,60,72.0,24.0
50,60,72.0,24.0
51,60,72.0,24.0
52,60,72.0,24.0
53,60,72.0,24.0
54,60,72.0,24.0
55,60,72.0,24.0
56,60,72.0,24.0
57,60,72.0,24.0
58,60,72.0,24.0
59,60,72.0,24.0
60,60,72.0,24.0
1,80,72.0,65.0
2,80,72.0,65.0
3,80,72.0,65.0
4,80,72.0,49.0
5,80,72.0,41.0
6,80,72.0,41.0
7,80,72.0,41.0
8,80,72.0,41.0
9,80,72.0,41.0
10,80,72.0,41.0
11,80,72.0,41.0
12,80,72.0,41.0
13,80,72.0,41.0
14,80,72.0,24.0
15,80,72.0,24.0
16,80,72.0,24.0
17,80,72.0,24.0
18,80,72.0,24.0
19,80,72.0,24.0
20,80,72.0,24.0
21,80,72.0,24.0
22,80,72.0,24.0
23,80,72.0,24.0
24,80,72.0,24.0
25,80,72.0,24.0
26,80,72.0,24.0
27,80,72.0,24.0
28,80,72.0,24.0
29,80,72.0,24.0
30,80,72.0,24.0
31,80,72.0,24.0
32,80,72.0,24.0
33,80,72.0,24.0
34,80,72.0,24.0
35,80,72.0,24.0
36,80,72.0,24.0
37,80,72.0,24.0
38,80,72.0,24.0
39,80,72.0,24.0
40,80,72.0,24.0
41,80,72.0,24.0
42,80,72.0,24.0
43,80,72.0,24.0
44,80,72.0,24.0
45,80,72.0,24.0
46,80,72.0,24.0
47,80,72.0,24.0
48,80,72.0,24.0
49,80,72.0,24.0
50,80,72.0,24.0
51,80,72.0,24.0
52,80,72.0,24.0
53,80,72.0,24.0
54,80,72.0,24.0
55,80,72.0,24.0
56,80,72.0,24.0
57,80,72.0,24.0
58,80,72.0,24.0
59,80,72.0,24.0
60,80,72.0,24.0
61,80,72.0,24.0
62,80,72.0,24.0
63,80,72.0,24.0
64,80,72.0,24.0
65,80,72.0,24.0
66,80,72.0,24.0
67,80,72.0,24.0
68,80,68.0,24.0
69,80,68.0,24.0
70,80,68.0,24.0
71,80,68.0,24.0
72,80,68.0,24.0
73,80,68.0,24.0
74,80,68.0,24.0
75,80,68.0,24.0
76,80,68.0,24.0
77,80,68.0,24.0
78,80,68.0,24.0
79,80,68.0,24.0
80,80,68.0,24.0
1,100,110.0,63.0
2,100,110.0,63.0
3,100,110.0,63.0
4,100,88.0,63.0
5,100,88.0,63.0
6,100,88.0,59.0
7,100,88.0,59.0
8,100,88.0,59.0
9,100,88.0,33.0
10,100,88.0,33.0
11,100,88.0,33.0
12,100,88.0,33.0
13,100,88.0,33.0
14,100,88.0,33.0
15,100,88.0,33.0
16,100,88.0,33.0
17,100,88.0,33.0
18,100,88.0,33.0
19,100,74.0,33.0
20,100,74.0,33.0
21,100,74.0,33.0
22,100,74.0,33.0
23,100,74.0,33.0
24,100,74.0,33.0
25,100,74.0,33.0
26,100,74.0,33.0
27,100,74.0,33.0
28,100,71.0,33.0
29,100,71.0,33.0
30,100,71.0,33.0
31,100,71.0,33.0
32,100,71.0,33.0
33,100,71.0,33.0
34,100,71.0,33.0
35,100,71.0,33.0
36,100,71.0,33.0
37,100,71.0,33.0
38,100,71.0,33.0
39,100,71.0,33.0
40,100,71.0,33.0
41,100,71.0,33.0
42,100,71.0,33.0
43,100,71.0,33.0
44,100,71.0,33.0
45,100,71.0,33.0
46,100,71.0,33.0
47,100,71.0,33.0
48,100,71.0,33.0
49,100,71.0,33.0
50,100,71.0,33.0
51,100,71.0,33.0
52,100,71.0,33.0
53,100,71.0,33.0
54,100,71.0,33.0
55,100,71.0,33.0
56,100,71.0,33.0
57,100,71.0,33.0
58,100,71.0,33.0
59,100,71.0,33.0
60,100,71.0,33.0
61,100,71.0,33.0
62,100,71.0,33.0
63,100,71.0,33.0
64,100,71.0,33.0
65,100,71.0,33.0
66,100,71.0,27.0
67,100,71.0,27.0
68,100,71.0,27.0
69,100,71.0,27.0
70,100,71.0,27.0
71,100,71.0,27.0
72,100,71.0,27.0
73,100,71.0,27.0
74,100,71.0,27.0
75,100,71.0,27.0
76,100,71.0,27.0
77,100,71.0,27.0
78,100,71.0,27.0
79,100,71.0,27.0
80,100,71.0,27.0
81,100,71.0,27.0
82,100,71.0,27.0
83,100,71.0,27.0
84,100,71.0,27.0
85,100,71.0,27.0
86,100,71.0,27.0
87,100,71.0,27.0
88,100,71.0,27.0
89,100,71.0,27.0
90,100,71.0,27.0
91,100,71.0,27.0
92,100,71.0,27.0
93,100,71.0,27.0
94,100,71.0,27.0
95,100,71.0,27.0
96,100,71.0,27.0
97,100,71.0,27.0
98,100,71.0,27.0
99,100,71.0,27.0
100,100,71.0,27.0
